Title,Link,Review,Reviews_Clean,Polarity_Score,sentiment_female lead,sentiment_FL,sentiment_second female lead,sentiment_male lead,sentiment_ML,sentiment_second male lead,sentiment_cast,sentiment_main leads,sentiment_ensemble cast,sentiment_couple,sentiment_side couples,sentiment_plot,sentiment_story,sentiment_beginning,sentiment_ending,sentiment_romance,sentiment_acting,sentiment_kiss,romance,kiss,steamy,comedy,melodrama,wholesome,sad,slow burn,tropey,action,OST,bingeworthy,top,bad
Hometown Cha-Cha-Cha,https://mydramalist.com/683929-mr-hong,This is a fantastic slice of life romcom. Great ensemble cast - reminded me of CLOY in that way. Love that it’s set outside of Seoul. There was a bit of conflict here and there with the main couple but nothing annoying like a breakup or time jump. Cute and satisfying happy ending. Love triangle a bit unnecessary. Overall very heartwarming and cute drama. Would rewatch. Also super funny!,"['fantastic', 'slice', 'life', 'romcom', 'great', 'ensemble', 'cast', 'reminded', 'cloy', 'way', 'love', 'set', 'outside', 'seoul', 'bit', 'conflict', 'main', 'couple', 'nothing', 'annoying', 'like', 'breakup', 'time', 'jump', 'cute', 'satisfying', 'happy', 'ending', 'love', 'triangle', 'bit', 'unnecessary', 'overall', 'heartwarming', 'cute', 'drama', 'would', 'rewatch', 'also', 'super', 'funny']",0.26953125000000006,,0.32135416666666666,,,,,0.4111607142857143,,0.4111607142857143,0.2978409090909091,,,,,0.2625330687830688,,,,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Into the Ring,https://mydramalist.com/55675-the-ballot,"Quirky, fun drama. SUPER GOOD KISS SCENES! Like, they actually move their lips. Romance is cute and sweet. Main female lead could be slightly annoying at times. But loved all the strong female leads in this overall. The male lead was very good at acting - it was weird to see him in this role after seeing him as the bad guy in the glory but I got over that quickly lol. An all around good drama.","['quirky', 'fun', 'drama', 'super', 'good', 'kiss', 'scene', 'like', 'actually', 'move', 'lip', 'romance', 'cute', 'sweet', 'main', 'female', 'lead', 'could', 'slightly', 'annoying', 'time', 'loved', 'strong', 'female', 'lead', 'overall', 'male', 'lead', 'good', 'acting', 'weird', 'see', 'role', 'seeing', 'bad', 'guy', 'glory', 'got', 'quickly', 'lol', 'around', 'good', 'drama']",0.19373015873015872,0.22211805555555555,,,0.22211805555555555,,,,,,,,,,,,0.23083333333333333,0.15526041666666668,0.24196078431372547,1,0,0,0,1,1,0,0,0,0,0,0,0,1
It's Okay to Not Be Okay,https://mydramalist.com/49865-psycho-but-it-s-okay,Kind of overrated. The brother is great. The FL is kind of refreshing bc she’s so blunt and outspoken but also kind of annoying. Dragged a bit. Not something I have a desire to rewatch really,"['kind', 'overrated', 'brother', 'great', 'fl', 'kind', 'refreshing', 'bc', 'shes', 'blunt', 'outspoken', 'also', 'kind', 'annoying', 'dragged', 'bit', 'something', 'desire', 'rewatch', 'really']",0.35714285714285715,,0.45999999999999996,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itaewon Class,https://mydramalist.com/33898-itaewon-class,I liked the representation in this and the first few eps are good. FL and SFL are terribly annoying and couldn’t see past this. Also v cheesy and dramatic most of the time. And PSJ’s hair does not do him any favors.,"['liked', 'representation', 'first', 'eps', 'good', 'fl', 'sfl', 'terribly', 'annoying', 'couldnt', 'see', 'past', 'also', 'v', 'cheesy', 'dramatic', 'time', 'psjs', 'hair', 'favor']",-0.014814814814814836,,0.02041666666666664,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Just Between Lovers,https://mydramalist.com/24230-just-between-lovers,"Made me cry so many times, so glad it had a happy ending, loved the leads, great acting, ending felt rushed and there was a bit too much breaking up between the leads","['made', 'cry', 'many', 'time', 'glad', 'happy', 'ending', 'loved', 'lead', 'great', 'acting', 'ending', 'felt', 'rushed', 'bit', 'much', 'breaking', 'lead']",0.5,,,,,,,,,,,,,,,0.5125,,0.42999999999999994,,0,0,0,0,0,0,1,0,0,0,0,0,0,0
King the Land,https://mydramalist.com/726273-king-the-lander,"super cute adorable romcom (in the same league as business proposal). the part with the saudi prince was a tad sus and some of the family drama was a bit meh, but besides that the drama had a great cast, adorable couple moments, a cute second couple, a great OST, and a cute ending. junho is so damn attractive and adorable in this one.","['super', 'cute', 'adorable', 'romcom', 'league', 'business', 'proposal', 'part', 'saudi', 'prince', 'tad', 'sus', 'family', 'drama', 'bit', 'meh', 'besides', 'drama', 'great', 'cast', 'adorable', 'couple', 'moment', 'cute', 'second', 'couple', 'great', 'ost', 'cute', 'ending', 'junho', 'damn', 'attractive', 'adorable', 'one']",0.4777777777777778,,,,,,,0.47047619047619044,,,0.4777777777777778,,,,,0.5466666666666666,,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Kiss Sixth Sense,https://mydramalist.com/707571-kiss-six-sense,"Had some cute and also steamy couple moments and seemed promising at the beginning but overall the show wasn’t great. The second lead characters were annoying, the backstory ended up being kind of cliche, and the ending with all the fighting and breaking up was not cute. A couple of episodes in the middle were cute when they were sneaking around the office. There were bright moments but not a standout show by any means.","['cute', 'also', 'steamy', 'couple', 'moment', 'seemed', 'promising', 'beginning', 'overall', 'show', 'wasnt', 'great', 'second', 'lead', 'character', 'annoying', 'backstory', 'ended', 'kind', 'cliche', 'ending', 'fighting', 'breaking', 'cute', 'couple', 'episode', 'middle', 'cute', 'sneaking', 'around', 'office', 'bright', 'moment', 'standout', 'show', 'mean']",0.20454545454545456,,,,,,,,,,0.3375,,,0.205,0.26111111111111107,0.21160714285714285,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Light on Me,https://mydramalist.com/688367-saebit-boys-high-school-council,Very cute. Love triangle is done well in that I loved both love interests and did not know which one the main lead would choose. But it’s a short series and the plot moves fast and I wish there had been more cute moments and more depth to the characters storylines backgrounds and motivations. Very adorable miniseries tho,"['cute', 'love', 'triangle', 'done', 'well', 'loved', 'love', 'interest', 'know', 'one', 'main', 'lead', 'would', 'choose', 'short', 'series', 'plot', 'move', 'fast', 'wish', 'cute', 'moment', 'depth', 'character', 'storyline', 'background', 'motivation', 'adorable', 'miniseries', 'tho']",0.44242424242424244,,,,,,,,,,,,0.4447222222222222,0.5358333333333334,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Like Flowers in Sand,https://mydramalist.com/748911-the-sand-flower,What a beautiful drama. So wholesome. made me laugh and made me cry. the acting of the main leads is SO GOOD. Kim Baek Doo is so pure and adorable and will go down in history as one of my favorite kdrama characters of all time. the main actor completely owned the role. the female lead is also fantastic. the ssireum wrestling and the murder plot were essential to the story but didnt overwhelm it. it was the romance and friendship that really shined through. only complaint is that it could have been 16 episodes and then we could have gotten more cute couple scenes post-love-confession but the 12 episode narrative was done well and they stuck the landing.,"['beautiful', 'drama', 'wholesome', 'made', 'laugh', 'made', 'cry', 'acting', 'main', 'lead', 'good', 'kim', 'baek', 'doo', 'pure', 'adorable', 'go', 'history', 'one', 'favorite', 'kdrama', 'character', 'time', 'main', 'actor', 'completely', 'owned', 'role', 'female', 'lead', 'also', 'fantastic', 'ssireum', 'wrestling', 'murder', 'plot', 'essential', 'story', 'didnt', 'overwhelm', 'romance', 'friendship', 'really', 'shined', 'complaint', 'could', '16', 'episode', 'could', 'gotten', 'cute', 'couple', 'scene', 'postloveconfession', '12', 'episode', 'narrative', 'done', 'well', 'stuck', 'landing']",0.24431913116123644,0.24476911976911978,,,0.24476911976911978,,,,0.3025132275132275,,0.12215956558061822,,0.21892551892551892,0.2549016955266955,,,0.2236451247165533,0.3966269841269841,,1,0,0,1,1,1,1,0,0,1,0,0,1,0
"Link: Eat, Love, Kill",https://mydramalist.com/80001-link,"Very solid drama. ML is incredible - his acting is just so good and he’s especially good at the emotional scenes. A few scenes in this drama made me bawl. There w was a mix of suspense, sadness, cuteness and humor in this drama. Sometimes the switching between these moods was a little jarring but overall it worked. Could have been an amazing drama if they leaned all the way in to drama and made it more like my mister but it still had romantic comedy elements. Overall enjoyable.","['solid', 'drama', 'ml', 'incredible', 'acting', 'good', 'he', 'especially', 'good', 'emotional', 'scene', 'scene', 'drama', 'made', 'bawl', 'w', 'mix', 'suspense', 'sadness', 'cuteness', 'humor', 'drama', 'sometimes', 'switching', 'mood', 'little', 'jarring', 'overall', 'worked', 'could', 'amazing', 'drama', 'leaned', 'way', 'drama', 'made', 'like', 'mister', 'still', 'romantic', 'comedy', 'element', 'overall', 'enjoyable']",0.27232142857142855,,,,,0.1466346153846154,,,,,,,,,,,,0.35738636363636367,,1,0,0,1,1,0,1,0,0,1,0,0,0,0
Love All Play,https://mydramalist.com/694427-the-speed-going-to-you-493km,"Best love story, chemistry, and male lead I’ve seen in a while. I laughed and I cried. Got a bit melodramatic in the middle but overall this is a kdrama that gave me ALL the feels. Park Taeyang and Park Taejun are the cutest ahhhhhhhh","['best', 'love', 'story', 'chemistry', 'male', 'lead', 'ive', 'seen', 'laughed', 'cried', 'got', 'bit', 'melodramatic', 'middle', 'overall', 'kdrama', 'gave', 'feel', 'park', 'taeyang', 'park', 'taejun', 'cutest', 'ahhhhhhhh']",0.3666666666666667,,,,0.49166666666666664,,,,,,,,,0.4625,,,,,,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Love Is for Suckers,https://mydramalist.com/719759-love-that-will-freeze-to-death,Started off interesting. I was super intrigued by the reality dating show plot esp since the FL is a commentator on singles inferno. The backstory of the ML was super emotional and I was into it for a while. But the plot reaaaally dragged in the middle to end and I ended up fast forwarding to see what happens bc I was so I engaged by the end. I loved the side couple of John Jang and the webtoon artist tho - they were adorable and that’s the first love plot I’ve seen for a female actress who’s a bit “heavier” and not your typical love interest.,"['started', 'interesting', 'super', 'intrigued', 'reality', 'dating', 'show', 'plot', 'esp', 'since', 'fl', 'commentator', 'single', 'inferno', 'backstory', 'ml', 'super', 'emotional', 'plot', 'reaaaally', 'dragged', 'middle', 'end', 'ended', 'fast', 'forwarding', 'see', 'happens', 'bc', 'engaged', 'end', 'loved', 'side', 'couple', 'john', 'jang', 'webtoon', 'artist', 'tho', 'adorable', 'thats', 'first', 'love', 'plot', 'ive', 'seen', 'female', 'actress', 'who', 'bit', 'heavier', 'typical', 'love', 'interest']",0.28076923076923077,,0.33636363636363636,,,0.33636363636363636,,,,,0.27956349206349207,,0.33636363636363636,0.2669191919191919,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
