Title,Link,Review
Love to Hate You,https://mydramalist.com/713771-love-battle,Started off weird but ended up liking it. Female lead is fun and sex/kissing scenes are really good. Nice ending. Overall cute/funny romcom.
Love Your Enemy,https://mydramalist.com/763553-love-on-a-single-log-bridge,"Overall a cute drama with some funny moments. The main highlights were the teenage flashbacks of the main couple’s love story, and the lead up to then dating after they reuinted as adults. However, this is one of those romantic comedy kdramas that suffers from some classic pitfalls. For one, it adds a completely unnecessary evil uncle embezzlement/indirect murder plot that was so pointless and kind of ruined the tone of the drama. Secondly, it got very boring after the main couple actually got together, which can happen in a lot of dramas. The tension and entertainment revolved around the will-they-wont-they aspect of the plot, and once they actually did get together, there was not enough chemsitry nor cute couple moments. Finally, the ensemble cast and side plots were not that strong. I did kind of like the nurse and teacher couple by the end, but there really were no standout side characters and in fact many of them were quite annoying like the sabotaging best friend, male lead’s dad, and gossiping teacher. The drama did have some sweet moments and a few really good OST songs though."
Lovely Runner,https://mydramalist.com/750099-time-walking-on-memory,"A really good romantic drama with all the feels. The two main leads have great chemistry and the kiss scenes are top notch. The time travel is filled with plot holes but you can easily get over that because the characters and love story is super good. Lots of cute moments, and it was fun to see the couple fall in love multiple times. The male lead is officially one of my favorites — he was so good in this drama and he plays the smitten boyfriend so well. Also he’s beautiful."
Lovestruck in the City,https://mydramalist.com/65277-love-way-of-urban-man-woman,I love the male lead but the show wasn’t really long or developed enough for me to care enough about the characters. Entertaining and had clever elements with the mockumentary but not amazing
Marry My Husband,https://mydramalist.com/747733-marry-my-husband,"very satisfying revenge story. the villains were great - you really love to hate them. main couple has good chemistry and is cute. side characters cute. the plot went a bit sideways near the end with the introduction of thr ex-fiance but had a satisfying ending, plus some time to wrap things up nicely."
Melancholia,https://mydramalist.com/695723-melancholia,I love this ML. His acting is so good. The principal was a total love to hate character and she was great at playing the villain. The subtle and slow progressing romance was well done and didn’t feel creepy. The math stuff could get a bit tedious at times. I think if I binged this I would have gotten a bit bored but I liked watching it while airing and def was always anticipating the next episode.
Monthly Magazine Home,https://mydramalist.com/59909-monthly-house,Has some really funny moments. Not my favorite leads. Pretty tropey but with some bright spots.
Moving,https://mydramalist.com/25560-moving,overall a really good fun drama. definitely grasped my attention from the beginning and was very bingable. it lost me a little bit in the middle with the flashback episodes but i loved the beginning episodes with the students. ending was a bit abrupt but felt like they might have laid the foundation for a second season.
Mr. Plankton,https://mydramalist.com/750795-mr-plankton,"I had such high hopes for this drama but it was ultimately disappointing. I feel like im being gaslit or something bc everyone seems to love this show, but it was just too bizarre. on the one hand, i loved the male lead. he might just be the most attractive Korean actor I’ve ever seen. and his acting in this is well done. however, the other main leads are poorly cast. the female lead was the wrong choice, i found her very annoying and her acting one dimensional. i also was weirded out by the choice of second male lead. he is 12 years older than the female lead, which just felt unnecessary and weird. there were many unexplained, dumb, or strange plot points that i couldnt overlook and that kind of ruined the drama for me (for ex, how he takes her from her wedding against her will, how she is engaged to the SML after only 2 months, how she flip flops between the FL and SFL too much, the constant back and forth between the main couple and repeated conversations, the weird grooming relationship with the SFL, the confusing plot point with the ML’s half sister, etc). there were a few cute or emotional scenes that i did appreciate tho, and i was definitely crying at the end."
Mr. Queen,https://mydramalist.com/58365-queen-cheorin,Super hilarious. FL is so good. Chemistry between leads is great. Plot doesn’t get boring. Great ensemble cast. One of the funniest kdramas I’ve watched
